START TIME:2024-04-02 17:10:44
TIME(sec),GATE-VOLTAGE(V),GATE-CURRENT(A),DRAIN-VOLTAGE(V),DRAIN-CURRENT(A)
1.359349e+00, -3.00000e-01, -4.22001e-05, 5.00000e-02, 9.07421e-04
1.379401e+00, -3.00000e-01, -3.31402e-05, 1.38778e-17, 1.99676e-04
1.399561e+00, -3.00000e-01, -5.50747e-05, -5.00000e-02, -5.34654e-04
1.419613e+00, -3.00000e-01, -4.44651e-05, -1.00000e-01, -1.19257e-03
1.439664e+00, -3.00000e-01, -4.58956e-05, -1.50000e-01, -1.78659e-03
1.459716e+00, -3.00000e-01, -5.06639e-05, -2.00000e-01, -2.32351e-03
1.479768e+00, -3.00000e-01, -4.19617e-05, -2.50000e-01, -2.76709e-03
1.499820e+00, -3.00000e-01, -5.50747e-05, -3.00000e-01, -3.08943e-03
1.519872e+00, -3.00000e-01, -4.52995e-05, -3.50000e-01, -3.28207e-03
1.539924e+00, -3.00000e-01, -4.88758e-05, -4.00000e-01, -3.34513e-03
1.559976e+00, -3.00000e-01, -5.01871e-05, -4.50000e-01, -3.31068e-03
1.580028e+00, -3.00000e-01, -5.26905e-05, -5.00000e-01, -3.25382e-03
1.600079e+00, -3.00000e-01, -4.72069e-05, -5.50000e-01, -3.18837e-03
1.620133e+00, -3.00000e-01, -2.64645e-05, -6.00000e-01, -3.16834e-03
1.639534e+00, -4.00000e-01, -1.00493e-04, 1.00000e-01, 1.23024e-03
1.659585e+00, -4.00000e-01, -4.11272e-05, 5.00000e-02, 9.80020e-04
1.679637e+00, -4.00000e-01, -4.73261e-05, 1.38778e-17, 1.81317e-04
1.699797e+00, -4.00000e-01, -5.24521e-05, -5.00000e-02, -6.20723e-04
1.719849e+00, -4.00000e-01, -4.83990e-05, -1.00000e-01, -1.39189e-03
1.739901e+00, -4.00000e-01, -5.09024e-05, -1.50000e-01, -2.14875e-03
1.759952e+00, -4.00000e-01, -4.12464e-05, -2.00000e-01, -2.87032e-03
1.780004e+00, -4.00000e-01, -3.85046e-05, -2.50000e-01, -3.53563e-03
1.800056e+00, -4.00000e-01, -4.37498e-05, -3.00000e-01, -4.12631e-03
1.820107e+00, -4.00000e-01, -3.96967e-05, -3.50000e-01, -4.65012e-03
1.840159e+00, -4.00000e-01, -5.41210e-05, -4.00000e-01, -5.06318e-03
