START TIME:2024-03-11 15:17:55
Vd=-0000.300000V
REPEAT,TIME(sec),GATE-VOLT(V),DRAIN-CURRENT(A),GATE-CURRENT(A)
1,0.000000e+00, 5.00000e-01, 3.06129e-04, 1.34349e-04
1,2.004900e-02, 4.90000e-01, 3.30567e-04, 1.45435e-05
1,4.010100e-02, 4.80000e-01, 3.29733e-04, -4.07696e-05
1,6.015300e-02, 4.70000e-01, 3.18527e-04, -4.36306e-05
1,8.020500e-02, 4.60000e-01, 3.11494e-04, -4.95911e-05
1,1.002570e-01, 4.50000e-01, 3.25680e-04, -5.65052e-05
1,1.203090e-01, 4.40000e-01, 3.26514e-04, -4.41074e-05
1,1.403600e-01, 4.30000e-01, 3.21031e-04, -5.12600e-05
1,1.604130e-01, 4.20000e-01, 3.16501e-04, -4.17233e-05
1,1.804640e-01, 4.10000e-01, 3.13401e-04, -4.12464e-05
1,2.005160e-01, 4.00000e-01, 3.16143e-04, -3.62396e-05
1,2.205680e-01, 3.90000e-01, 3.18170e-04, -4.25577e-05
1,2.406200e-01, 3.80000e-01, 3.32355e-04, -5.76973e-05
1,2.606710e-01, 3.70000e-01, 3.33071e-04, -4.88758e-05
1,2.807280e-01, 3.60000e-01, 3.21746e-04, -5.03063e-05
1,3.007760e-01, 3.50000e-01, 3.35217e-04, -5.65052e-05
1,3.208280e-01, 3.40000e-01, 3.19600e-04, -5.63860e-05
1,3.408800e-01, 3.30000e-01, 3.22819e-04, -4.66108e-05
1,3.609320e-01, 3.20000e-01, 3.27587e-04, -6.71148e-05
1,3.809840e-01, 3.10000e-01, 3.16739e-04, -6.72340e-05
1,4.010360e-01, 3.00000e-01, 3.19600e-04, -6.84261e-05
1,4.210880e-01, 2.90000e-01, 3.13997e-04, -6.31809e-05
1,4.411400e-01, 2.80000e-01, 3.21388e-04, -5.03063e-05
1,4.611920e-01, 2.70000e-01, 3.26395e-04, -5.35250e-05
1,4.812440e-01, 2.60000e-01, 3.30329e-04, -6.09159e-05
1,5.012960e-01, 2.50000e-01, 3.46661e-04, -5.50747e-05
1,5.213480e-01, 2.40000e-01, 3.34144e-04, -5.69820e-05
1,5.414000e-01, 2.30000e-01, 3.31879e-04, -5.97239e-05
1,5.614560e-01, 2.20000e-01, 3.31283e-04, -6.07967e-05
1,5.815040e-01, 2.10000e-01, 3.55005e-04, -6.86646e-05
1,6.020670e-01, 2.00000e-01, 3.33786e-04, -5.47171e-05
1,6.221200e-01, 1.90000e-01, 3.31163e-04, -5.91278e-05
1,6.421710e-01, 1.80000e-01, 3.22342e-04, -6.23465e-05
1,6.622240e-01, 1.70000e-01, 3.31759e-04, -6.03199e-05
1,6.822760e-01, 1.60000e-01, 3.31998e-04, -4.64916e-05
1,7.023280e-01, 1.50000e-01, 3.19123e-04, -4.31538e-05
1,7.223790e-01, 1.40000e-01, 3.16978e-04, -2.86102e-05
1,7.424320e-01, 1.30000e-01, 3.05653e-04, -2.77758e-05
1,7.624840e-01, 1.20000e-01, 3.14832e-04, -3.38554e-05
1,7.825360e-01, 1.10000e-01, 3.11494e-04, -4.57764e-05
1,8.025880e-01, 1.00000e-01, 3.20435e-04, -4.62532e-05
1,8.226400e-01, 9.00000e-02, 3.30806e-04, -3.03984e-05
1,8.426920e-01, 8.00000e-02, 3.19600e-04, -4.52995e-05
1,8.627440e-01, 7.00000e-02, 3.26037e-04, -4.10080e-05
1,8.827960e-01, 6.00000e-02, 3.31163e-04, -5.06639e-05
1,9.028480e-01, 5.00000e-02, 3.23534e-04, -5.35250e-05
1,9.229000e-01, 4.00000e-02, 3.17693e-04, -6.56843e-05
1,9.429520e-01, 3.00000e-02, 3.09587e-04, -5.32866e-05
1,9.630040e-01, 2.00000e-02, 3.25203e-04, -5.06639e-05
1,9.830560e-01, 1.00000e-02, 3.23176e-04, -4.82798e-05
1,1.003110e+00, 0.00000e+00, 3.18885e-04, -4.44651e-05
1,1.023270e+00, -1.00000e-02, 3.15905e-04, -8.46386e-05
1,1.043320e+00, -2.00000e-02, 3.17931e-04, -7.17640e-05
1,1.063370e+00, -3.00000e-02, 3.21507e-04, -7.52211e-05
1,1.083420e+00, -4.00000e-02, 3.12805e-04, -8.14199e-05
1,1.103480e+00, -5.00000e-02, 3.08275e-04, -8.22544e-05
1,1.123530e+00, -6.00000e-02, 2.87056e-04, -6.86646e-05
1,1.143580e+00, -7.00000e-02, 2.85983e-04, -7.27177e-05
1,1.163630e+00, -8.00000e-02, 2.91944e-04, -6.44922e-05
1,1.183680e+00, -9.00000e-02, 2.98977e-04, -5.35250e-05
1,1.203740e+00, -1.00000e-01, 2.97189e-04, -4.85182e-05
1,1.223790e+00, -1.10000e-01, 2.95520e-04, -5.67436e-05
1,1.243840e+00, -1.20000e-01, 2.76685e-04, -4.85182e-05
1,1.263890e+00, -1.30000e-01, 2.69651e-04, -5.11408e-05
1,1.283940e+00, -1.40000e-01, 2.66552e-04, -5.82933e-05
1,1.304000e+00, -1.50000e-01, 2.54631e-04, -6.52075e-05
1,1.324050e+00, -1.60000e-01, 2.35558e-04, -7.30753e-05
1,1.344100e+00, -1.70000e-01, 2.11835e-04, -8.27312e-05
1,1.364150e+00, -1.80000e-01, 1.97053e-04, -6.15120e-05
1,1.384200e+00, -1.90000e-01, 1.62125e-04, -6.15120e-05
1,1.404260e+00, -2.00000e-01, 1.27912e-04, -7.84397e-05
1,1.424820e+00, -2.10000e-01, 1.05858e-04, -7.97510e-05
1,1.444870e+00, -2.20000e-01, 9.14335e-05, -5.80549e-05
1,1.464920e+00, -2.30000e-01, 4.85182e-05, -7.31945e-05
1,1.484970e+00, -2.40000e-01, -1.78814e-06, -8.32081e-05
1,1.505030e+00, -2.50000e-01, -4.86374e-05, -7.74860e-05
1,1.525080e+00, -2.60000e-01, -9.47714e-05, -6.73532e-05
1,1.545130e+00, -2.70000e-01, -1.74999e-04, -7.42674e-05
1,1.565180e+00, -2.80000e-01, -2.52366e-04, -8.60691e-05
1,1.585230e+00, -2.90000e-01, -3.33786e-04, -9.13143e-05
1,1.605290e+00, -3.00000e-01, -4.15683e-04, -9.11951e-05
1,1.625340e+00, -3.10000e-01, -5.13196e-04, -6.92606e-05
1,1.645390e+00, -3.20000e-01, -6.07729e-04, -7.14064e-05
1,1.665440e+00, -3.30000e-01, -7.33614e-04, -8.34465e-05
1,1.685500e+00, -3.40000e-01, -8.46982e-04, -7.68900e-05
1,1.705550e+00, -3.50000e-01, -9.82165e-04, -8.59499e-05
1,1.725600e+00, -3.60000e-01, -1.10555e-03, -7.47442e-05
1,1.745650e+00, -3.70000e-01, -1.24729e-03, -5.69820e-05
1,1.765700e+00, -3.80000e-01, -1.38474e-03, -6.29425e-05
1,1.785760e+00, -3.90000e-01, -1.53387e-03, -6.07967e-05
1,1.805810e+00, -4.00000e-01, -1.70135e-03, -5.23329e-05
