START TIME:2024-03-11 16:03:19
Vd=-0000.300000V
REPEAT,TIME(sec),GATE-VOLT(V),DRAIN-CURRENT(A),GATE-CURRENT(A)
1,1.685500e+00, -3.40000e-01, -7.65586e-03, -6.48499e-05
1,1.705550e+00, -3.50000e-01, -7.63249e-03, -7.28369e-05
1,1.725600e+00, -3.60000e-01, -7.60496e-03, -7.16448e-05
1,1.745650e+00, -3.70000e-01, -7.56562e-03, -8.23736e-05
1,1.765700e+00, -3.80000e-01, -7.53522e-03, -7.41482e-05
1,1.785750e+00, -3.90000e-01, -7.50577e-03, -6.85453e-05
1,1.805810e+00, -4.00000e-01, -7.47871e-03, -7.46250e-05
1,1.825860e+00, -4.10000e-01, -7.43258e-03, -7.16448e-05
1,1.845910e+00, -4.20000e-01, -7.38287e-03, -7.18832e-05
1,1.865960e+00, -4.30000e-01, -7.33292e-03, -8.27312e-05
1,1.886020e+00, -4.40000e-01, -7.30252e-03, -7.43866e-05
1,1.906070e+00, -4.50000e-01, -7.27010e-03, -7.20024e-05
1,1.926120e+00, -4.60000e-01, -7.20406e-03, -8.79765e-05
1,1.946170e+00, -4.70000e-01, -7.16281e-03, -1.01089e-04
1,1.966220e+00, -4.80000e-01, -7.10666e-03, -8.92878e-05
1,1.986280e+00, -4.90000e-01, -7.07388e-03, -8.33273e-05
1,2.006330e+00, -5.00000e-01, -7.01964e-03, -8.95262e-05
1,2.026380e+00, -5.10000e-01, -6.96421e-03, -9.79900e-05
1,2.046430e+00, -5.20000e-01, -6.88922e-03, -8.42810e-05
1,2.066490e+00, -5.30000e-01, -6.83939e-03, -7.89165e-05
1,2.086540e+00, -5.40000e-01, -6.78062e-03, -8.71420e-05
1,2.106590e+00, -5.50000e-01, -6.71470e-03, -7.51019e-05
1,2.126640e+00, -5.60000e-01, -6.64151e-03, -7.52211e-05
1,2.146690e+00, -5.70000e-01, -6.55258e-03, -7.16448e-05
1,2.166740e+00, -5.80000e-01, -6.45649e-03, -6.28233e-05
1,2.186800e+00, -5.90000e-01, -6.36649e-03, -6.03199e-05
1,2.206850e+00, -6.00000e-01, -6.25873e-03, -7.52211e-05
1,2.226900e+00, -6.10000e-01, -6.13570e-03, -7.67708e-05
1,2.246950e+00, -6.20000e-01, -6.01161e-03, -6.18696e-05
1,2.267010e+00, -6.30000e-01, -5.87595e-03, -7.55787e-05
