START TIME:2024-03-11 15:35:12
Vd=-0000.300000V
REPEAT,TIME(sec),GATE-VOLT(V),DRAIN-CURRENT(A),GATE-CURRENT(A)
1,0.000000e+00, 5.00000e-01, 2.80499e-04, 1.57475e-04
1,2.004900e-02, 4.90000e-01, 3.20196e-04, 7.04527e-05
1,4.010100e-02, 4.80000e-01, 3.27587e-04, -4.88758e-06
1,6.015300e-02, 4.70000e-01, 3.32832e-04, -8.94070e-06
1,8.020500e-02, 4.60000e-01, 3.34859e-04, -1.99080e-05
1,1.002570e-01, 4.50000e-01, 3.20196e-04, -2.22921e-05
1,1.203090e-01, 4.40000e-01, 3.21031e-04, -1.71661e-05
1,1.403610e-01, 4.30000e-01, 3.16620e-04, -2.59876e-05
1,1.604130e-01, 4.20000e-01, 3.11613e-04, -3.18289e-05
1,1.804650e-01, 4.10000e-01, 3.16739e-04, -3.42131e-05
1,2.005160e-01, 4.00000e-01, 3.06964e-04, -3.39746e-05
1,2.205680e-01, 3.90000e-01, 3.01361e-04, -2.67029e-05
1,2.406200e-01, 3.80000e-01, 3.20315e-04, -3.52859e-05
1,2.606720e-01, 3.70000e-01, 3.24607e-04, -2.59876e-05
1,2.807280e-01, 3.60000e-01, 3.22580e-04, -2.93255e-05
1,3.007760e-01, 3.50000e-01, 3.21150e-04, -2.61068e-05
1,3.208280e-01, 3.40000e-01, 3.33905e-04, -2.40803e-05
1,3.408800e-01, 3.30000e-01, 3.48449e-04, -2.49147e-05
1,3.609320e-01, 3.20000e-01, 3.37005e-04, -8.34465e-06
1,3.809840e-01, 3.10000e-01, 3.32475e-04, -2.51532e-05
1,4.010360e-01, 3.00000e-01, 3.19958e-04, -2.19345e-05
1,4.210880e-01, 2.90000e-01, 3.16262e-04, -1.45435e-05
1,4.411400e-01, 2.80000e-01, 3.15070e-04, -2.81334e-05
1,4.611920e-01, 2.70000e-01, 3.09229e-04, -2.38419e-05
1,4.812450e-01, 2.60000e-01, 3.02553e-04, -1.82390e-05
1,5.012970e-01, 2.50000e-01, 3.13401e-04, -1.35899e-05
1,5.213480e-01, 2.40000e-01, 3.15070e-04, -1.19209e-05
1,5.414000e-01, 2.30000e-01, 3.18646e-04, -1.76430e-05
1,5.614560e-01, 2.20000e-01, 3.23176e-04, -1.29938e-05
1,5.815050e-01, 2.10000e-01, 3.17693e-04, -9.53674e-06
1,6.020680e-01, 2.00000e-01, 3.31163e-04, -4.29153e-06
1,6.221200e-01, 1.90000e-01, 3.24130e-04, -9.05991e-06
1,6.421720e-01, 1.80000e-01, 3.34263e-04, -6.55651e-06
1,6.622240e-01, 1.70000e-01, 3.25561e-04, -3.21865e-06
1,6.822760e-01, 1.60000e-01, 3.24368e-04, -1.26362e-05
1,7.023280e-01, 1.50000e-01, 3.25918e-04, 2.14577e-06
1,7.223800e-01, 1.40000e-01, 3.32117e-04, -2.14577e-06
1,7.424320e-01, 1.30000e-01, 3.30091e-04, -9.77516e-06
1,7.624840e-01, 1.20000e-01, 3.16739e-04, -8.46386e-06
1,7.825360e-01, 1.10000e-01, 3.26037e-04, -2.38419e-07
1,8.025880e-01, 1.00000e-01, 3.16262e-04, -2.09808e-05
1,8.226400e-01, 9.00000e-02, 3.09944e-04, -1.44243e-05
