START TIME:2024-03-11 15:19:12
Vd=-0000.300000V
REPEAT,TIME(sec),GATE-VOLT(V),DRAIN-CURRENT(A),GATE-CURRENT(A)
1,1.685500e+00, -3.40000e-01, -7.98821e-04, -5.10216e-05
1,1.705550e+00, -3.50000e-01, -9.07063e-04, -5.96046e-05
1,1.725600e+00, -3.60000e-01, -1.02937e-03, -7.61747e-05
1,1.745650e+00, -3.70000e-01, -1.14620e-03, -6.97374e-05
1,1.765700e+00, -3.80000e-01, -1.26934e-03, -6.49691e-05
1,1.785760e+00, -3.90000e-01, -1.41144e-03, -6.61612e-05
1,1.805810e+00, -4.00000e-01, -1.55604e-03, -6.59227e-05
1,1.825860e+00, -4.10000e-01, -1.69456e-03, -6.50883e-05
1,1.845910e+00, -4.20000e-01, -1.84262e-03, -7.43866e-05
1,1.865960e+00, -4.30000e-01, -1.99211e-03, -7.97510e-05
1,1.886020e+00, -4.40000e-01, -2.16544e-03, -7.49826e-05
1,1.906070e+00, -4.50000e-01, -2.33829e-03, -7.95126e-05
1,1.926120e+00, -4.60000e-01, -2.49469e-03, -7.76052e-05
1,1.946170e+00, -4.70000e-01, -2.66147e-03, -7.83205e-05
1,1.966220e+00, -4.80000e-01, -2.83098e-03, -7.56979e-05
1,1.986280e+00, -4.90000e-01, -3.00682e-03, -7.45058e-05
1,2.006330e+00, -5.00000e-01, -3.17645e-03, -8.13007e-05
1,2.026380e+00, -5.10000e-01, -3.35562e-03, -8.57115e-05
1,2.046430e+00, -5.20000e-01, -3.53324e-03, -7.05719e-05
1,2.066490e+00, -5.30000e-01, -3.71671e-03, -6.22272e-05
1,2.086540e+00, -5.40000e-01, -3.89540e-03, -6.56843e-05
1,2.106590e+00, -5.50000e-01, -4.07231e-03, -5.69820e-05
1,2.126640e+00, -5.60000e-01, -4.25184e-03, -6.54459e-05
1,2.146690e+00, -5.70000e-01, -4.41349e-03, -6.24657e-05
1,2.166740e+00, -5.80000e-01, -4.58527e-03, -6.05583e-05
1,2.186800e+00, -5.90000e-01, -4.76277e-03, -7.35521e-05
1,2.206850e+00, -6.00000e-01, -4.91416e-03, -7.45058e-05
1,2.226900e+00, -6.10000e-01, -5.07224e-03, -6.85453e-05
1,2.246960e+00, -6.20000e-01, -5.21350e-03, -7.96318e-05
1,2.267010e+00, -6.30000e-01, -5.36120e-03, -6.23465e-05
1,2.287060e+00, -6.40000e-01, -5.50115e-03, -6.52075e-05
1,2.307110e+00, -6.50000e-01, -5.63776e-03, -6.93798e-05
1,2.327160e+00, -6.60000e-01, -5.77223e-03, -8.49962e-05
1,2.347220e+00, -6.70000e-01, -5.90825e-03, -8.16584e-05
1,2.367270e+00, -6.80000e-01, -6.04808e-03, -7.39098e-05
1,2.387320e+00, -6.90000e-01, -6.16717e-03, -7.54595e-05
1,2.407370e+00, -7.00000e-01, -6.29008e-03, -8.54731e-05
1,2.427420e+00, -7.10000e-01, -6.38711e-03, -8.44002e-05
1,2.447470e+00, -7.20000e-01, -6.50930e-03, -7.12872e-05
1,2.467530e+00, -7.30000e-01, -6.60968e-03, -6.55651e-05
1,2.487580e+00, -7.40000e-01, -6.71482e-03, -6.44922e-05
