START TIME:2024-04-01 19:12:42
Vd=-0000.500000V
REPEAT,TIME(sec),GATE-VOLT(V),DRAIN-CURRENT(A),GATE-CURRENT(A)
1,4.205530e+00, 1.80000e+00, 1.47462e-04, -4.85182e-05
1,4.255580e+00, 1.75000e+00, 1.58191e-04, -3.87430e-05
1,4.305630e+00, 1.70000e+00, 1.56641e-04, -4.99487e-05
1,4.355680e+00, 1.65000e+00, 1.44362e-04, -4.48227e-05
1,4.405730e+00, 1.60000e+00, 1.50323e-04, -3.26633e-05
1,4.455790e+00, 1.55000e+00, 1.72853e-04, -4.74453e-05
1,4.505840e+00, 1.50000e+00, 1.61529e-04, -5.81741e-05
1,4.555890e+00, 1.45000e+00, 1.70469e-04, -3.85046e-05
1,4.605950e+00, 1.40000e+00, 1.61290e-04, -3.25441e-05
1,4.656000e+00, 1.35000e+00, 1.65820e-04, -1.94311e-05
1,4.706050e+00, 1.30000e+00, 1.76072e-04, -1.20401e-05
1,4.756100e+00, 1.25000e+00, 1.74046e-04, -4.97103e-05
1,4.806150e+00, 1.20000e+00, 1.64747e-04, -3.06368e-05
1,4.856210e+00, 1.15000e+00, 1.62840e-04, -3.89814e-05
1,4.906260e+00, 1.10000e+00, 1.70112e-04, -2.87294e-05
1,4.956310e+00, 1.05000e+00, 1.80721e-04, -2.50340e-05
1,5.006370e+00, 1.00000e+00, 1.77503e-04, -2.56300e-05
1,5.056420e+00, 9.50000e-01, 1.83225e-04, -3.06368e-05
1,5.106470e+00, 9.00000e-01, 1.86443e-04, -2.71797e-05
1,5.156520e+00, 8.50000e-01, 1.70827e-04, -4.41074e-06
1,5.206580e+00, 8.00000e-01, 1.83940e-04, -1.27554e-05
1,5.256630e+00, 7.50000e-01, 1.90020e-04, -2.13385e-05
1,5.306680e+00, 7.00000e-01, 1.91927e-04, -1.66893e-05
1,5.356730e+00, 6.50000e-01, 1.91927e-04, -1.33514e-05
1,5.406790e+00, 6.00000e-01, 2.03013e-04, -2.37226e-05
1,5.456840e+00, 5.50000e-01, 1.94907e-04, -8.22544e-06
1,5.506890e+00, 5.00000e-01, 2.06232e-04, -3.21865e-05
1,5.556940e+00, 4.50000e-01, 1.96934e-04, -1.68085e-05
1,5.607000e+00, 4.00000e-01, 1.94073e-04, -1.27554e-05
1,5.657050e+00, 3.50000e-01, 1.99318e-04, -3.56436e-05
1,5.707100e+00, 3.00000e-01, 1.88708e-04, -1.60933e-05
1,5.757160e+00, 2.50000e-01, 2.04921e-04, -4.64916e-05
1,5.807720e+00, 2.00000e-01, 2.01344e-04, -2.95639e-05
1,5.857770e+00, 1.50000e-01, 1.93715e-04, -3.52859e-05
1,5.907820e+00, 1.00000e-01, 1.92046e-04, -4.73261e-05
1,5.957880e+00, 5.00000e-02, 2.00391e-04, -2.93255e-05
