START TIME:2024-04-01 19:06:27
Vd=-0000.500000V
REPEAT,TIME(sec),GATE-VOLT(V),DRAIN-CURRENT(A),GATE-CURRENT(A)
1,0.000000e+00, 6.00000e-01, -1.58310e-04, 1.78218e-04
1,2.004800e-02, 5.50000e-01, 4.98295e-05, 8.22544e-06
1,4.010000e-02, 5.00000e-01, 1.10030e-04, -7.22408e-05
1,6.015200e-02, 4.50000e-01, 1.29819e-04, -7.71284e-05
1,8.020400e-02, 4.00000e-01, 1.29580e-04, -6.40154e-05
1,1.002550e-01, 3.50000e-01, 1.28388e-04, -7.04527e-05
1,1.203070e-01, 3.00000e-01, 1.24693e-04, -7.23600e-05
1,1.403580e-01, 2.50000e-01, 1.32203e-04, -8.76188e-05
1,1.609210e-01, 2.00000e-01, 1.35183e-04, -7.66516e-05
1,1.809730e-01, 1.50000e-01, 1.32322e-04, -6.97374e-05
1,2.010250e-01, 1.00000e-01, 1.41621e-04, -7.55787e-05
1,2.210770e-01, 5.00000e-02, 1.24216e-04, -8.01086e-05
1,2.412380e-01, -1.11022e-16, 1.25527e-04, -1.02997e-04
1,2.612900e-01, -5.00000e-02, 7.77245e-05, -1.13487e-04
1,2.813420e-01, -1.00000e-01, -3.67165e-05, -1.01089e-04
1,3.013940e-01, -1.50000e-01, -3.18170e-04, -1.04547e-04
1,3.214450e-01, -2.00000e-01, -7.96556e-04, -1.02639e-04
1,3.420080e-01, -2.50000e-01, -1.49214e-03, -8.89301e-05
1,3.620600e-01, -3.00000e-01, -2.36225e-03, -1.04666e-04
1,3.821120e-01, -3.50000e-01, -3.36289e-03, -1.05619e-04
1,4.021630e-01, -4.00000e-01, -4.39346e-03, -9.28640e-05
1,4.222150e-01, -4.50000e-01, -5.36358e-03, -1.03354e-04
1,4.422660e-01, -5.00000e-01, -6.21545e-03, -9.13143e-05
1,4.623180e-01, -5.50000e-01, -6.97362e-03, -7.78437e-05
1,4.823700e-01, -6.00000e-01, -7.62618e-03, -8.45194e-05
1,5.024210e-01, -5.50000e-01, -7.64596e-03, -9.81092e-05
1,5.224720e-01, -5.00000e-01, -7.22826e-03, -9.38177e-05
1,5.425270e-01, -4.50000e-01, -6.62994e-03, -8.35657e-05
1,5.625780e-01, -4.00000e-01, -5.86200e-03, -6.91414e-05
1,5.826300e-01, -3.50000e-01, -4.97103e-03, -8.10623e-05
1,6.026820e-01, -3.00000e-01, -4.02093e-03, -8.41618e-05
1,6.227340e-01, -2.50000e-01, -3.08251e-03, -7.71284e-05
1,6.432960e-01, -2.00000e-01, -2.22218e-03, -6.50883e-05
1,6.633480e-01, -1.50000e-01, -1.53732e-03, -6.31809e-05
1,6.833990e-01, -1.00000e-01, -9.57847e-04, -7.05719e-05
1,7.034520e-01, -5.00000e-02, -5.28097e-04, -7.18832e-05
