START TIME:2024-04-01 19:10:08
Vd=-0000.500000V
REPEAT,TIME(sec),GATE-VOLT(V),DRAIN-CURRENT(A),GATE-CURRENT(A)
1,0.000000e+00, -1.25000e+00, -9.65095e-03, -9.84550e-04
1,5.004800e-02, -1.20000e+00, -9.58240e-03, -3.19839e-04
1,1.001000e-01, -1.15000e+00, -9.61173e-03, -1.00374e-04
1,1.501530e-01, -1.10000e+00, -9.61566e-03, -8.23736e-05
1,2.002060e-01, -1.05000e+00, -9.61745e-03, -7.18832e-05
1,2.502590e-01, -1.00000e+00, -9.60457e-03, -7.02143e-05
1,3.003120e-01, -9.50000e-01, -9.60207e-03, -6.53267e-05
1,3.503640e-01, -9.00000e-01, -9.59086e-03, -6.17504e-05
1,4.004170e-01, -8.50000e-01, -9.55975e-03, -7.47442e-05
1,4.504700e-01, -8.00000e-01, -9.50050e-03, -9.27448e-05
1,5.005220e-01, -7.50000e-01, -9.43112e-03, -8.60691e-05
1,5.505740e-01, -7.00000e-01, -9.32753e-03, -7.86781e-05
1,6.006260e-01, -6.50000e-01, -9.19640e-03, -7.74860e-05
1,6.506780e-01, -6.00000e-01, -8.98719e-03, -7.27177e-05
1,7.007350e-01, -5.50000e-01, -8.70419e-03, -8.34465e-05
1,7.507830e-01, -5.00000e-01, -8.33094e-03, -7.72476e-05
1,8.008360e-01, -4.50000e-01, -7.79712e-03, -7.46250e-05
1,8.508880e-01, -4.00000e-01, -7.10285e-03, -7.03335e-05
1,9.009400e-01, -3.50000e-01, -6.25587e-03, -7.54595e-05
1,9.509930e-01, -3.00000e-01, -5.23019e-03, -7.36713e-05
1,1.001050e+00, -2.50000e-01, -4.14038e-03, -7.66516e-05
1,1.051610e+00, -2.00000e-01, -3.07155e-03, -7.93934e-05
1,1.101660e+00, -1.50000e-01, -2.14493e-03, -6.58035e-05
1,1.151710e+00, -1.00000e-01, -1.37305e-03, -7.46250e-05
1,1.201770e+00, -5.00000e-02, -7.51972e-04, -7.21216e-05
1,1.251930e+00, 0.00000e+00, -3.13282e-04, -6.77109e-05
1,1.301980e+00, 5.00000e-02, -4.98295e-05, -6.84261e-05
1,1.352030e+00, 1.00000e-01, 5.98431e-05, -6.78301e-05
1,1.402080e+00, 1.50000e-01, 1.12176e-04, -8.73804e-05
1,1.452140e+00, 2.00000e-01, 1.36852e-04, -7.05719e-05
1,1.502700e+00, 2.50000e-01, 1.40071e-04, -8.35657e-05
1,1.552750e+00, 3.00000e-01, 1.29819e-04, -9.81092e-05
1,1.602800e+00, 3.50000e-01, 1.42455e-04, -8.34465e-05
1,1.652860e+00, 4.00000e-01, 1.44124e-04, -8.60691e-05
1,1.702910e+00, 4.50000e-01, 1.46866e-04, -9.54866e-05
1,1.752960e+00, 5.00000e-01, 1.50084e-04, -7.84397e-05
1,1.803010e+00, 5.50000e-01, 1.59502e-04, -9.25064e-05
